FEDEX;;;;;;;;;;;;;;;
Ağırlık;1.Bölge;2.Bölge;3.Bölge;4.Bölge;5.Bölge;6.Bölge;7.Bölge;8.Bölge;9.Bölge;10.Bölge;11.Bölge;12.Bölge;13.Bölge;14.Bölge;15.Bölge
0,5 kg;9,2736;8,5905;9,0252;10,27755;13,1445;8,7354;8,74575;9,2736;8,3628;4,79205;4,79205;4,79205;4,79205;4,79205;4,79205
1,0 kg;9,53235;8,9217;9,4806;10,8261;13,8483;9,0459;9,9774;9,5427;8,694;5,0094;5,01975;5,12325;5,0094;5,0094;5,12325
1,5 kg;9,78075;9,26325;9,936;11,385;14,56245;9,36675;11,2194;9,8118;9,01485;5,2164;5,2371;5,45445;5,2371;5,2371;5,45445
2,0 kg;10,0395;9,59445;10,38105;11,9439;15,26625;9,6876;12,45105;10,0809;9,34605;5,43375;5,4648;5,796;5,4648;5,45445;5,796
2,5 kg;10,29825;9,936;10,83645;12,5028;15,9804;10,00845;13,69305;10,35;9,67725;5,6511;5,6925;6,1272;5,68215;5,68215;6,1272
3,0 kg;13,4343;50,2389;12,006;66,7368;17,9055;60,18525;32,38515;13,77585;55,3104;11,178;11,1159;11,592;9,65655;9,3564;11,592
3,5 kg;13,75515;51,0255;12,2751;68,3307;18,35055;61,46865;35,1486;14,12775;56,16945;11,592;11,5299;12,1716;10,02915;9,7083;12,1716
4,0 kg;14,08635;51,8121;12,5442;69,9246;18,78525;62,7624;37,9017;14,4693;57,03885;11,99565;11,95425;12,7512;10,3914;10,0602;12,7512
4,5 kg;14,4072;52,5987;12,80295;71,52885;19,21995;64,0458;40,66515;14,8212;57,8979;12,40965;12,3786;13,32045;10,75365;10,4121;13,32045
5,0 kg;14,72805;53,37495;13,07205;73,12275;19,65465;65,33955;43,4286;15,1731;58,7673;12,82365;12,7926;13,90005;11,12625;10,764;13,90005
5,5 kg;15,8976;54,6273;13,44465;75,5136;20,27565;66,82995;43,79085;16,32195;73,68165;13,8276;13,79655;14,697;11,9853;11,6127;14,697
6,0 kg;17,0568;55,87965;13,8069;77,90445;20,8863;68,31;46,4094;17,48115;75,3687;14,8419;14,79015;15,5043;12,84435;12,4614;15,5043
6,5 kg;18,22635;57,132;14,1795;80,2953;21,5073;69,8004;49,02795;18,64035;77,05575;15,8562;15,7941;16,30125;13,7034;13,3101;16,30125
7,0 kg;19,38555;58,38435;14,5521;82,68615;22,1283;71,28045;51,63615;19,79955;78,7428;16,8705;16,7877;17,0982;14,5728;14,1588;17,0982
7,5 kg;20,5551;59,6367;14,91435;85,08735;22,7493;72,77085;54,2547;20,95875;80,42985;17,87445;17,79165;17,9055;15,43185;15,0075;17,9055
8,0 kg;21,7143;60,88905;15,28695;87,4782;23,3703;74,26125;56,87325;22,11795;82,1169;18,88875;18,78525;18,70245;16,2909;15,8562;18,70245
8,5 kg;22,8735;62,1414;15,6492;89,86905;23,9913;75,7413;59,4918;23,27715;83,8143;19,90305;19,7892;19,4994;17,14995;16,71525;19,4994
9,0 kg;24,04305;63,39375;16,0218;92,2599;24,6123;77,2317;62,11035;24,43635;85,50135;20,91735;20,79315;20,3067;18,01935;17,56395;20,3067
9,5 kg;25,20225;64,6461;16,38405;94,65075;25,2333;78,71175;64,7289;25,59555;87,1884;21,9213;21,78675;21,10365;18,8784;18,41265;21,10365
10 kg;26,3718;65,89845;16,75665;97,05195;25,8543;80,20215;67,34745;26,75475;88,87545;22,9356;22,7907;21,9006;19,73745;19,26135;21,9006